Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,Soviet Union,1955,?,1,,Il-14,transport aircraft,1,,1955,New,Aid,4,4,4
Afghanistan,Soviet Union,1969,?,1,,Il-18,transport aircraft,1,,1970,Second hand,Second-hand,7.6,7.6,7.6
Afghanistan,Soviet Union,1967,?,1,,Il-18,transport aircraft,1,,1968,Second hand,Second-hand,7.6,7.6,7.6
Afghanistan,Soviet Union,1955,?,46,,Il-28,bomber aircraft,46,?,1957; 1958; 1959,New,,7.2,331.2,331.2
Afghanistan,Soviet Union,1965,?,250,?,K-13A,SRAAM,250,?,1966; 1967; 1968; 1969,New,For MiG-21F combat aircraft,0.04,10,10
Afghanistan,Soviet Union,1970,?,250,?,K-13A,SRAAM,250,?,1971; 1972,New,For Su-7 combat aircraft,0.04,10,10
Afghanistan,Soviet Union,1978,?,350,?,K-13M,SRAAM,350,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990,New,For Su-22 combat aircraft,0.07,24.5,24.5
Afghanistan,Soviet Union,1988,?,200,?,Kh-25M,anti-radar missile/ASM,200,?,1988; 1989,New,Kh-25ML ASM and Kh-25MP ARM versions,0.18,36,36
Afghanistan,Soviet Union,1978,?,10,?,L-29 Delfin,trainer aircraft,10,?,1978,Second hand,Second-hand,0.4,4,4
Afghanistan,Soviet Union,1979,?,6000,?,Malyutka,anti-tank missile,6000,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990,New,Incl for Mi-24 helicopters and BMP-1 IFV,0.01,60,60
Afghanistan,Soviet Union,1956,?,6,,Mi-1,light helicopter,6,,1957,New,SM-1 version from Polish production line,0.3,1.8,1.8
Afghanistan,Soviet Union,1981,?,50,?,Mi-17,transport helicopter,50,?,1982; 1983; 1984; 1985; 1986; 1987; 1988,New,Incl Mi-8,7.25,362.5,362.5
Afghanistan,Soviet Union,1980,?,90,?,Mi-24A,combat helicopter,90,?,1980; 1981; 1982,Second hand,Second-hand,2.65,238.32,238.32
Afghanistan,Soviet Union,1984,?,61,?,Mi-24D/Mi-25,combat helicopter,61,?,1984; 1986; 1987; 1988; 1989; 1990; 1991,New,,8.25,503.25,503.25
Afghanistan,Soviet Union,1963,?,18,,Mi-4A,helicopter,18,?,1964; 1965,New,,1.88,33.84,33.84
Afghanistan,Soviet Union,1970,?,4,?,Mi-8T,transport helicopter,4,?,1971,New,,6,24,24
Afghanistan,Soviet Union,1979,?,50,?,Mi-8T,transport helicopter,50,?,1979; 1980; 1981,New,,6,300,300
Afghanistan,Soviet Union,1956,?,6,,MiG-15UTI,trainer aircraft,6,,1957,New,,3,18,18
Afghanistan,Soviet Union,1955,?,100,?,MiG-17,fighter aircraft,100,?,1957; 1958; 1959,New,,3.5,350,350
Afghanistan,Soviet Union,1963,?,18,?,MiG-19,fighter aircraft,18,?,1965,Second hand,Second-hand,2,36,36
Afghanistan,Soviet Union,1989,?,40,?,MiG-21bis,fighter aircraft,40,?,1989; 1990,Second hand,Second-hand,5,200,200
Afghanistan,Soviet Union,1965,?,50,?,MiG-21F-13,fighter aircraft,50,?,1966; 1967; 1968; 1969,New,Incl some MiG-21U,9,450,450
Afghanistan,Soviet Union,1978,,6,?,MiG-21MF,fighter aircraft,6,?,1978,Second hand,Second-hand,4.28,25.68,25.68
Afghanistan,Soviet Union,1987,?,40,?,MiG-21MF,fighter aircraft,40,?,1987; 1988; 1989; 1990,Second hand,Second-hand; probably incl some MiG-21UM,4.28,171.2,171.2
