Qatar,Italy,2021,,6,,M-346 Master,trainer/combat aircraft,3,?,2022,New,,8.5,51,25.5
Qatar,Italy,2016,,20,?,Marte-ER,anti-ship missile,20,?,2022; 2023,New,For Exocet coastal defence systems from France,0.7,14,14
Qatar,Italy,2018,,55,?,Marte-ER,anti-ship missile,5,?,2022,New,For NH-90 NFH helicopters,0.7,38.5,3.5
Qatar,Italy,2018,,12,,NH-90 NFH,ASW helicopter,6,?,2022; 2023,New,Part of EUR3 b deal; delivery planned 2022-2025,15,180,90
Qatar,Italy,2019,,2,?,X-TAR,air search radar,2,?,2022,New,For use with GDM-008 Mk-1 anti-aircraft guns (part of Skyshield-35 (Skynex) air defence systems) from Switzerland,5,10,10
Qatar,Netherlands,1992,,4,,Goalkeeper,naval gun,4,,1996; 1997,New,For 4 Vita (Barzan) FAC from UK,10,40,40
Qatar,Netherlands,1992,?,4,,STING,fire control radar,4,,1996; 1997,New,For 4 Vita (Barzan) FAC from UK,4.75,19,19
Qatar,Norway,2019,,,,NASAMS-2,SAM system,0,,,New,Part of $2 b deal,15,0,0
Qatar,Pakistan,2016,,8,,MFI-17 Supporter,trainer aircraft,8,?,2017,New,Super Mushshak version,0.24,1.92,1.92
Qatar,Russia,2017,,500,?,Igla-S,portable SAM,500,?,2018; 2019,New,For NMS armoured vehicles,0.08,40,40
Qatar,South Africa,1991,,12,,G-5 155mm,towed gun,12,?,1991,New,,1,12,12
Qatar,Switzerland,2012,,24,,PC-21,trainer aircraft,24,,2014; 2015; 2016,New,CHF600 m ($607 m) deal,5,120,120
Qatar,Switzerland,2020,,2,,PC-24,light transport aircraft,1,,2022,New,For training and VIP transport,5.3,10.6,5.3
Qatar,Turkiye,2018,,2,,Al Doha,training ship,2,,2021; 2022,New,,35,70,70
Qatar,Turkiye,2018,,35,,Amazon,APC,35,,2019,New,,0.25,8.75,8.75
Qatar,Turkiye,2018,,6,,Bayraktar TB2,armed UAV,6,?,2019,New,Armed Bayraktar-2 version,2.4,14.4,14.4
Qatar,Turkiye,2020,,50,?,Ejder Yalcin,APC,50,?,2021; 2022,New,Ambulance version,0.3,15,15
Qatar,Turkiye,2016,?,342,?,Ejder Yalcin,APC,342,?,2017; 2018; 2019; 2020; 2021; 2022,New,,0.3,102.6,102.6
Qatar,Turkiye,2020,,1,,Fuwairit,landing ship,1,,2022,New,,17.5,17.5,17.5
Qatar,Turkiye,2020,,2,,Ishat,landing craft,2,,2022,New,,7.4,14.8,14.8
Qatar,Turkiye,2018,,50,,Kirpi,APC,50,?,2019,New,Kirpi-2 version,0.25,12.5,12.5
Qatar,Turkiye,2018,?,4,,MRTP-24,patrol craft,4,?,2021,New,,5.9,23.6,23.6
Qatar,Turkiye,2022,?,4,,MRTP-24,FAC,0,,,New,Selected 2022 but contract not yet signed by end-2022,0,0,0
Qatar,Turkiye,2012,,3,,MRTP-33,patrol craft,3,?,2013; 2014,New,MRTP-34 version,11.2,33.6,33.6
Qatar,Turkiye,2018,,214,,NMS,APV,214,?,2020; 2021; 2022; 2023,New,,0.18,38.52,38.52
Qatar,Turkiye,2017,,100,?,NMS,APV,100,?,2018; 2019,New,Incl anti-tank and SAM versions,0.18,18,18
Qatar,United Kingdom,2019,,200,?,ASRAAM,BVRAAM,140,?,2022; 2023,New,ASRAAM Block-6 version; for Typhoon combat aircraft,0.18,36,25.2
Qatar,United Kingdom,1981,,6,,Blindfire,fire control radar,6,?,1983; 1984,New,For use with Rapier SAM systems,2.5,15,15
Qatar,United Kingdom,1984,?,50,?,Blowpipe,portable SAM,50,?,1985; 1986,New,,0.06,3,3
Qatar,United Kingdom,1975,,1,,BN-2 Islander,light transport aircraft,1,,1976,New,,0.6,0.6,0.6
Qatar,United Kingdom,2017,,,,Brimstone,ASM,0,,,New,For Typhoon combat aircraft,0.15,0,0
Qatar,United Kingdom,1981,,8,,Sea King/Commando,transport helicopter,8,?,1982; 1983; 1984,New,Armed version (with anti-ship missiles),6.75,54,54
Qatar,United Kingdom,1974,,4,,Sea King/Commando,transport helicopter,4,?,1975; 1976,New,Commando-2A version; incl 1 Commando-2C version for VIP transport,6.75,27,27
Qatar,United Kingdom,2017,,7,?,EJ-200,turbofan,1,?,2023,New,Spares for Typhoon combat aircraft,2.5,17.5,2.5
Qatar,United Kingdom,1966,?,10,?,Ferret,APV,10,?,1968,New,,0.12,1.2,1.2
Qatar,United Kingdom,2018,,9,,Hawk-100,trainer/combat aircraft,9,,2021; 2022,New,Hawk Mk-167 version,10,90,90
Qatar,United Kingdom,1969,?,4,,Hunter,FGA aircraft,4,,1971,New,Second-hand (Second-hand aircraft sold back to UK producer) Hunter F-6 rebuilt to Hunter FGA-78; incl 1 Hunter T-79 (T-7) version,4,16,16
Qatar,United Kingdom,2015,,160,?,Meteor,BVRAAM,160,?,2019; 2020,New,For Rafale combat aircraft from France,0.8,128,128
