Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Indonesia,Australia,1980,,6,,Nomad Searchmaster-L,maritime patrol aircraft,6,,1981; 1982,New,Aid,2.5,15,15
Indonesia,Australia,2019,?,20,?,R-400S,APC turret,20,?,2019,New,For 7 Komodo and 13 Anoa APC produced in Indonesia,0.05,1,1
Iran,Austria,1984,,200,?,GC-45 155mm,towed gun,200,?,1985,New,GHN-45 version; illegally delivered to Iran (officially ordered by and delivered to Libya to circumvent arms embargo on Iran); originally produced for expected Indian order,1,200,200
Iraq,Austria,1981,,200,?,GC-45 155mm,towed gun,200,?,1981; 1982; 1983; 1984; 1985; 1986,New,GHN-45 version; illegally delivered to Iraq (officially ordered by and delivered to Jordan to circumvent arms embargo on Iraq),1,200,200
Iraq,Australia,2004,,2,,SB7L-360 Seeker,light aircraft,2,,2004,New,AUD2.8 m ($2 m) deal; ordered via and assembled in Jordan,0.11,0.22,0.22
Israel,Aruba,1996,?,1,,Boeing-707,transport aircraft,1,,1996,Second hand,Second-hand; for modification to tanker/transport aircraft in Israel,17.8,17.8,17.8
Israel,Austria,1981,,2,,S-65A/CH-53 Stallion,transport helicopter,2,,1981,Second hand,Second-hand; S-65OE version,4,8,8
Cote d'Ivoire,Angola,2002,,2,?,BMP-2,IFV,2,?,2002,Second hand,Second-hand; for use against fight rebels,0.36,0.72,0.72
Cote d'Ivoire,Angola,2002,,2,,T-55,tank,2,,2002,Second hand,Second-hand; for use against rebels,0.5,1,1
Jamaica,Austria,2017,,4,,DA40,light aircraft,4,?,2018,New,,0.15,0.6,0.6
Jamaica,Austria,2011,?,2,,DA42,light aircraft,2,,2013,New,DA-42NG version; for training,0.35,0.7,0.7
Jamaica,Australia,2013,,12,,Bushmaster,APC,12,?,2015; 2016,New,,0.32,3.84,3.84
Jamaica,Australia,2020,,6,,Bushmaster,APC,6,?,2021,New,Incl 3 ambulance version,0.32,1.92,1.92
Japan,Australia,2014,,4,,Bushmaster,APC,4,,2014,New,AUD3.6 m ($2.7 m) deal,0.32,1.28,1.28
Japan,Australia,2017,?,4,,Bushmaster,APC,4,,2018,New,,0.32,1.28,1.28
Jordan,Austria,2010,,12,,Camcopter S-100,UAV,12,?,2011; 2012,New,,0.2,2.4,2.4
Jordan,Australia,2006,,6,,SB7L-360 Seeker,light aircraft,6,?,2006,New,Assembled from kits,0.11,0.66,0.66
Kiribati,Australia,1992,,1,,ASI-315,patrol craft,1,,1994,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Kiribati designation Teanoai,6,6,6
Kiribati,Australia,2014,,1,,Guardian,patrol craft,1,,2021,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Kiribati designation Teanoai-2,7,7,7
Kuwait,Austria,1996,,40,?,Pandur,APC,40,?,1997; 1998; 1999,New,Part of $170 m deal; from US production line; for National Guard; CP; 81mm mortar carrier; ARV and ambulance versions; option on more not used,0.3,12,12
Kuwait,Austria,2010,,24,?,Pandur,APC,24,?,2013; 2014,New,,0.3,7.2,7.2
Kuwait,Austria,1996,,30,?,Pandur,IFV,30,?,1998; 1999,New,Part of $170 m deal; from US production line; for National Guard; IFV (25mm) and AFSV (90mm) versions; option on more not used,0.3,9,9
Kuwait,Austria,2010,,56,?,Pandur,IFV,56,?,2013; 2014,New,,0.3,16.8,16.8
Kuwait,Australia,1991,,2,,OPV-310,patrol craft,2,,1993,New,Kuwaiti designation Inttisar,7.5,15,15
Kuwait,Australia,1992,,2,,OPV-310,patrol craft,2,,1993,New,Kuwaiti designation Inttisar,7.5,15,15
Kuwait,Australia,1997,,22,,S-600,APC,22,,1997; 1998,New,$12 m deal; for National Guard,0.18,3.96,3.96
Laos,Australia,1970,?,3,,C-47 Skytrain,transport aircraft,3,,1971,Second hand,Second-hand; aid,1,3,3
