Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
AZE,Israel,2013,?,250,?,Spike-NLOS,SSM/ASM,250,?,2014; 2015; 2016; 2017; 2018,New,For OPV-62 and Shaldag FAC,0.15,37.5,37.5
AZE,Israel,2019,?,100,?,Spike-NLOS,SSM/ASM,100,?,2019; 2020,New,Incl for Mi-17 helicopters and SandCat APV,0.15,15,15
AZE,Israel,2008,,10,?,Sufa,APV,10,?,2009; 2010,New,,0.12,1.2,1.2
AZE,Italy,2023,,,,C-27J Spartan,transport aircraft,0,,,New,,16,0,0
AZE,Pakistan,2017,,10,,MFI-17 Supporter,trainer aircraft,10,?,2018,New,Super Mushshak version,0.24,2.4,2.4
AZE,Russia,2011,?,18,,2S19 MSTA-S 152mm,self-propelled gun,18,?,2012; 2013; 2014,New,,1.75,31.5,31.5
AZE,Russia,2011,?,18,?,2S31 Vena,self-propelled mortar,18,?,2012; 2013; 2014,New,,0.9,16.2,16.2
AZE,Russia,2010,,200,?,48N6,SAM,200,?,2011,New,For S-300PMU-2 (SA-20B) SAM system,1.1,220,220
AZE,Russia,2012,,100,?,9M317,SAM,100,?,2013; 2014,New,For Buk-MB (SA-11 or SA-17) SAM systems from Belarus,0.25,25,25
AZE,Russia,2012,,100,?,9M38,SAM,100,?,2013; 2014,Second hand,For Buk-MB (SA-11 or SA-17) SAM systems from Belarus,0.06,6,6
AZE,Russia,2011,?,1000,?,Bastion,anti-tank missile,1000,?,2013; 2014; 2015,New,For BMP-3 IFV,0.02,20,20
AZE,Russia,2011,,118,?,BMP-3,IFV,118,?,2013; 2014; 2015,New,BMP-3M version,1.45,171.1,171.1
AZE,Russia,2007,?,70,?,BTR-80A,IFV,70,?,2007; 2008; 2010,New,,0.9,63,63
AZE,Russia,2013,?,76,?,BTR-82A,IFV,76,?,2017; 2018,New,,0.95,72.2,72.2
AZE,Russia,2011,?,1000,?,Igla-S,portable SAM,1000,?,2012; 2013,New,Deal incl also 200 launchers,0.08,80,80
AZE,Russia,2017,?,24,?,Khrizantema,tank destroyer,24,?,2017; 2018,New,,1.1,26.4,26.4
AZE,Russia,2017,?,800,?,Khrizantema,anti-tank missile,800,?,2017; 2018,New,For 24 Khrizantema-S tank destroyers,0.07,56,56
AZE,Russia,2008,?,100,?,Kornet,anti-tank missile,100,?,2009; 2010,New,,0.04,4,4
