Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
Canada,vehicle engine 401-600,vehicle engine,Engines,2019,Yes,50,Yes,2022,No,New,0.08,0.08,4,No
Canada,vehicle engine 401-600,vehicle engine,Engines,2019,Yes,36,Yes,2023,No,New,0.08,0.08,2.88,No
Central African Republic,C-130B Hercules,transport aircraft,Aircraft,2006,No,1,No,2006,No,Second hand,23,9.2,9.2,No
Chad,aircraft engine 4501-6000,aircraft engine,Engines,2012,No,4,Yes,2014,No,New,1.5,1.5,6,No
Chad,C-130B Hercules,transport aircraft,Aircraft,1983,No,1,No,1983,No,Second hand,23,9.2,9.2,No
Chad,C-130B Hercules,transport aircraft,Aircraft,1984,Yes,1,No,1984,No,Second hand,23,9.2,9.2,No
Chad,C-130B Hercules,transport aircraft,Aircraft,1988,Yes,1,No,1988,No,Second hand,23,9.2,9.2,No
Chad,C-130H Hercules,transport aircraft,Aircraft,1989,No,1,No,1989,No,New,28,28,28,No
Chad,C-130H Hercules,transport aircraft,Aircraft,1988,No,1,No,1989,No,New,28,28,28,No
Chad,Cessna-208 Caravan,light transport aircraft,Aircraft,2016,No,2,No,2017,No,New,1,1,2,No
Chad,Commando-90,armoured car,Armoured vehicles,1985,No,11,No,1986,No,New,0.9,0.9,9.9,No
Chad,David,APV,Armoured vehicles,2016,No,20,No,2016,No,New,0.11,0.11,2.2,No
Chad,David,APV,Armoured vehicles,2016,No,40,Yes,2017,Yes,New,0.11,0.11,4.4,No
Chad,David,APV,Armoured vehicles,2020,Yes,28,No,2020,No,New,0.11,0.11,3.08,No
Chad,PC-7,trainer aircraft,Aircraft,2006,Yes,1,Yes,2006,Yes,Second hand,1.6,0.64,0.64,No
Chad,Redeye,portable SAM,Missiles,1983,No,30,No,1983,No,New,0.04,0.04,1.2,No
Chad,Redeye,portable SAM,Missiles,1986,Yes,100,Yes,1986,Yes,New,0.04,0.04,4,No
Chad,Stinger,portable SAM,Missiles,1987,No,30,Yes,1987,No,New,0.08,0.08,2.4,No
Chad,TOW,anti-tank missile,Missiles,1987,Yes,25,Yes,1988,Yes,New,0.01,0.01,0.25,No
Chad,TOW,anti-tank missile,Missiles,1987,Yes,25,Yes,1987,No,New,0.01,0.01,0.25,No
Chad,vehicle engine 301-400,vehicle engine,Engines,2019,No,8,Yes,2021,No,New,0.05,0.05,0.4,No
Chad,vehicle engine 301-400,vehicle engine,Engines,2019,No,12,Yes,2022,Yes,New,0.05,0.05,0.6,No
Chad,vehicle engine 301-400,vehicle engine,Engines,2018,Yes,20,Yes,2018,No,New,0.05,0.05,1,No
Chile,A-37B,ground attack aircraft,Aircraft,1972,No,34,Yes,1975,No,New,5,5,170,No
Chile,A-37B,ground attack aircraft,Aircraft,1992,No,10,No,1992,No,Second hand,5,2,20,No
Chile,AGM-65,ASM,Missiles,2006,No,14,No,2007,No,New,0.15,0.15,2.1,No
Chile,AIM-120C AMRAAM,BVRAAM,Missiles,2010,Yes,25,Yes,2013,Yes,New,0.6,0.6,15,No
Chile,AIM-120C AMRAAM,BVRAAM,Missiles,2010,Yes,50,Yes,2014,Yes,New,0.6,0.6,30,No
Chile,AIM-120C AMRAAM,BVRAAM,Missiles,2010,Yes,25,Yes,2015,Yes,New,0.6,0.6,15,No
Chile,AIM-120C AMRAAM,BVRAAM,Missiles,2011,Yes,25,Yes,2014,Yes,New,0.6,0.6,15,No
Chile,AIM-120C AMRAAM,BVRAAM,Missiles,2011,Yes,50,Yes,2015,Yes,New,0.6,0.6,30,No
Chile,AIM-9E,SRAAM,Missiles,1974,No,50,Yes,1976,Yes,New,0.07,0.07,3.5,No
Chile,aircraft engine 1001-2000,aircraft engine,Engines,1989,No,4,No,1990,No,New,0.5,0.5,2,No
Chile,aircraft engine 1001-2000,aircraft engine,Engines,1989,No,2,Yes,1989,No,New,0.5,0.5,1,No
Chile,aircraft engine 1001-2000,aircraft engine,Engines,1996,Yes,2,No,1997,Yes,New,0.5,0.5,1,No
Chile,APS-115,MP aircraft radar,Sensors,2000,Yes,3,Yes,2003,Yes,New,2.5,2.5,7.5,No
Chile,APS-128,MP aircraft radar,Sensors,1977,No,4,No,1978,No,New,2.5,2.5,10,No
Chile,APS-128,MP aircraft radar,Sensors,1977,No,2,No,1979,No,New,2.5,2.5,5,No
Chile,APS-143,MP aircraft radar,Sensors,2007,No,1,No,2010,No,New,2.5,2.5,2.5,No
Chile,APS-143,MP aircraft radar,Sensors,2007,No,2,No,2011,No,New,2.5,2.5,5,No
Chile,B-26 Invader,bomber aircraft,Aircraft,1954,Yes,10,No,1954,No,Second hand,5,2,20,No
Chile,B-26 Invader,bomber aircraft,Aircraft,1954,Yes,12,Yes,1956,Yes,Second hand,5,2,24,No
Chile,B-26 Invader,bomber aircraft,Aircraft,1954,Yes,10,Yes,1957,No,Second hand,5,2,20,No
Chile,B-26 Invader,bomber aircraft,Aircraft,1965,No,4,No,1965,No,Second hand,5,2,8,No
Chile,B-26 Invader,bomber aircraft,Aircraft,1956,Yes,2,No,1957,No,Second hand,5,2,4,No
Chile,B-26 Invader,bomber aircraft,Aircraft,1956,Yes,3,No,1958,No,Second hand,5,2,6,No
Chile,B-26 Invader,bomber aircraft,Aircraft,1963,No,2,No,1963,No,Second hand,5,2,4,No
Chile,Balao,submarine,Ships,1960,No,2,No,1961,No,Second hand,38.63,15.45,30.9,No
Chile,Beech-18,light transport aircraft,Aircraft,1953,No,3,No,1954,No,Second hand,0.4,0.16,0.48,No
Chile,Beech-18,light transport aircraft,Aircraft,1956,Yes,1,No,1956,No,Second hand,0.4,0.16,0.16,No
Chile,Beech-99,light transport aircraft,Aircraft,1970,No,9,No,1970,No,New,2.75,2.75,24.75,No
Chile,Beech-99,light transport aircraft,Aircraft,1981,Yes,6,No,1982,No,New,2.75,2.75,16.5,No
Chile,Bell-206,light helicopter,Aircraft,1968,Yes,4,No,1970,No,New,0.7,0.7,2.8,No
Chile,Bell-206,light helicopter,Aircraft,1970,No,2,No,1970,No,New,0.7,0.7,1.4,No
Chile,Bell-206,light helicopter,Aircraft,1996,Yes,2,No,1996,No,New,0.7,0.7,1.4,No
Chile,Bell-206,light helicopter,Aircraft,1998,No,2,No,1998,No,New,0.7,0.7,1.4,No
Chile,Bell-412,helicopter,Aircraft,2007,No,4,Yes,2009,No,New,5,5,20,No
Chile,Bell-412,helicopter,Aircraft,2000,No,1,No,2000,No,Second hand,5,2,2,No
Chile,Bell-412,helicopter,Aircraft,2000,Yes,1,No,2001,No,Second hand,5,2,2,No
Chile,Bell-412,helicopter,Aircraft,2009,Yes,4,Yes,2010,No,New,5,5,20,No
Chile,Bell-412,helicopter,Aircraft,2009,Yes,2,Yes,2009,No,New,5,5,10,No
Chile,Bell-412,helicopter,Aircraft,2009,Yes,2,Yes,2011,No,New,5,5,10,No
Chile,Bell-47,light helicopter,Aircraft,1960,Yes,2,No,1961,No,New,0.24,0.24,0.48,No
Chile,Bell-47,light helicopter,Aircraft,1960,Yes,2,No,1962,No,New,0.24,0.24,0.48,No
Chile,Bell-47,light helicopter,Aircraft,1961,Yes,2,No,1962,No,New,0.24,0.24,0.48,No
Chile,Bell-47,light helicopter,Aircraft,1953,Yes,3,No,1954,No,New,0.24,0.24,0.72,No
Chile,Bell-47,light helicopter,Aircraft,1957,Yes,2,No,1957,No,New,0.24,0.24,0.48,No
Chile,Bell-47,light helicopter,Aircraft,1968,No,1,No,1968,No,New,0.24,0.24,0.24,No
